PROFUNDIDAD,XLINES,ILINES
2684.733818812766,7.08967696945156,2200
2689.3936326831063,25.479473163269873,2200
2740.651585256848,48.77321500877311,2200
2754.631026867869,58.581106312142865,2200
2787.24972396025,75.74491609303998,2200
2829.1880487933117,97.81267152562198,2200
2857.146932015353,116.20246771944029,2200
2847.8273042746723,145.62614162954964,2200
2843.167490404332,156.66001934584057,2200
2833.847862663652,176.27580195258014,2200
2824.528234922972,193.43961173347725,2200
2829.1880487933117,213.05539434021676,2200
2861.806745885693,227.76723129527147,2200
2889.765629107734,237.5751225986412,2200
2936.3637678111363,254.7389323795383,2200
2978.3020926441977,268.22478292167176,2200
3010.920789736579,292.7445111800962,2200
2978.3020926441977,313.58628019975697,2200
2978.3020926441977,328.2981171548116,2200
3006.260975866239,363.85172312952704,2200
2982.961906514538,378.5635600845817,2200
2982.961906514538,392.04941062671514,2200
2987.6217203848782,416.56913888513964,2200
2992.2815342552185,441.088867143564,2200
2996.9413481255588,459.4786633373824,2200
3029.5600452179397,474.19050029243704,2200
3029.5600452179397,499.9362149637826,2200
3006.260975866239,518.326011157601,2200
2694.0534465534465,15.671581859900115,2220
2763.950654608549,48.77321500877311,2220
2819.8684210526317,74.51892968011875,2220
2847.8273042746723,95.36069869977952,2220
2833.847862663652,124.78437260988885,2220
2843.167490404332,159.11199217168303,2220
2833.847862663652,195.8915845593197,2220
2815.2086071822914,222.86328564358655,2220
