PROFUNDIDAD,XLINES,ILINES
2069.2538846222537,1.1138493422238156,2200
2190.8496235613275,4.997182999375909,2200
2204.1137362976406,9.08490263848337,2200
2177.5855108250144,16.44279798887682,2200
2195.6729372836235,18.895429772341302,2200
2211.3487068810846,22.983149411448778,2200
2222.2011627562497,26.253325122734736,2200
2230.641961770267,28.70595690619922,2200
2239.0827607842843,31.158588689663702,2200
2253.5527019511715,34.42876440094966,2200
2263.199329395763,35.246308328771164,2200
2283.698412715519,36.88139618441414,2200
2298.1683538824063,39.334027967878626,2200
2309.0208097575714,43.42174760698609,2200
2325.9024077856066,63.04280187470195,2200
2339.1665205219197,63.860345802523426,2200
2362.077260702824,67.94806544163092,2200
2375.341373439137,69.5831532972739,2200
2374.1355450085634,73.67087293638136,2200
2369.312231286268,78.57613650331032,2200
2360.8714322722503,81.0287682867748,2200
2351.2248048276588,84.29894399806076,2200
2358.4597754111023,88.38666363716823,2200
2369.312231286268,90.02175149281123,2200
2383.7821724531545,90.83929542063271,2200
2398.2521136200417,91.65683934845421,2200
2410.3103979257808,93.29192720409719,2200
2419.9570253703723,98.19719077102616,2200
2429.6036528149634,103.91999826577663,2200
2438.044451828981,108.00771790488409,2200
2447.6910792735725,112.09543754399155,2200
2456.1318782875896,118.6357889665635,2200
2466.984334162755,124.35859646131394,2200
2476.6309616073463,130.8989478838859,2200
2483.86593219079,146.43228251249428,2200
2491.1009027742334,168.5059685636746,2200
2485.071760621364,175.86386391406805,2200
2477.8367900379203,182.40421533663996,2200
2458.5435351487376,188.12702283139046,2200
2452.514392995868,191.39719854267642,2200
2445.2794224124245,194.66737425396238,2200
2394.63462832832,206.11298924346332,2200
2388.60548617545,210.20070888257075,2200
2384.9880008837285,215.9235163773212,2200
2415.1337116480763,233.09193886157257,2200
2425.986167523242,235.54457064503706,2200
2438.044451828981,238.814746356323,2200
2509.188329232842,244.5375538510735,2200
2521.246613538581,246.99018563453794,2200
2533.3048978443203,249.44281741800242,2200
2546.5690105806334,251.8954492014669,2200
2563.4506086086685,253.5305370571099,2200
2579.1263782061296,255.16562491275292,2200
2588.7730056507207,256.8007127683959,2200
2602.037118387034,258.43580062403885,2200
2612.889574262199,259.2533445518603,2200
2622.5362017067905,263.3410641909678,2200
2629.771172290234,270.6989595413613,2200
2635.8003144431036,278.0568548917547,2200
2639.417799734825,285.4147502421481,2200
2645.446941887695,296.0428213038276,2200
2641.829456595973,315.6638755715434,2200
2639.417799734825,326.2919466332228,2200
2638.2119713042516,333.6498419836163,2200
2640.623628165399,341.0077373340097,2200
2646.6527703182687,347.5480887565817,2200
2650.2702556099907,354.9059841069751,2200
2652.6819124711383,363.89896731301155,2200
2650.2702556099907,375.34458230251244,2200
2641.829456595973,394.9656365702283,2200
2637.0061428736776,402.3235319206217,2200
2637.0061428736776,421.1270422605161,2200
2643.035285026547,432.57265725001696,2200
2646.6527703182687,435.842832961303,2200
2656.2993977628603,447.28844795080386,2200
2690.06259381893,462.00423865159075,2200
2710.5616771386867,479.99020506366367,2200
2709.3558487081127,509.42178646523735,2200
2705.7383634163907,516.7796818156309,2200
2705.7383634163907,525.7726650216673,2200
2706.9441918469647,536.4007360833467,2200
2700.915049694095,541.3059996502757,2200
2078.298867144643,2.7507809214873475,2250
2100.9113234506162,5.206178290382638,2250
2114.4787972341996,6.84310986964617,2250
2137.091253540173,9.298507238541475,2250
2159.703709846146,11.753904607436766,2250
2168.748692368535,14.209301976332057,2250
2173.27118362973,19.938562503754426,2250
2186.8386574133133,24.030891451913234,2250
