PROFUNDIDAD,XLINES,ILINES
2300.3545911172596,128.4470949238265,2313
2319.3986287755683,127.60671991611666,2313
2357.4867040921854,127.60671991611666,2313
2386.0527605796483,129.2874699315364,2313
2400.33578882338,130.12784493924624,2313
2409.857807652534,130.96821994695614,2313
2433.66285472542,132.64896996237582,2313
2447.945882969151,133.4893449700857,2313
2466.98992062746,135.17009498550544,2313
2514.6000147732316,139.37197002405475,2313
2352.7256946776083,131.80859495466598,2323
2371.769732335917,132.64896996237582,2323
2386.0527605796483,132.64896996237582,2323
2405.096798237957,132.64896996237582,2323
2424.1408358962653,132.64896996237582,2323
2447.945882969151,132.64896996237582,2323
2466.98992062746,133.4893449700857,2323
2476.511939456614,135.17009498550544,2323
2338.442666433877,128.4470949238265,2333
2347.9646852630312,129.2874699315364,2333
2376.530741750494,129.2874699315364,2333
2386.0527605796483,129.2874699315364,2333
2409.857807652534,129.2874699315364,2333
2428.901845310843,130.12784493924624,2333
2447.945882969151,130.12784493924624,2333
2471.750930042037,130.96821994695614,2333
2481.272948871191,130.96821994695614,2333
2519.3610241878087,131.80859495466598,2333
2367.00872292134,134.32971997779555,2343
2395.5747794088024,134.32971997779555,2343
2405.096798237957,134.32971997779555,2343
2438.423864139997,133.4893449700857,2343
2462.228911212883,134.32971997779555,2343
2495.555977114923,135.17009498550544,2343
2519.3610241878087,138.53159501634485,2343
2552.6880900898486,141.05272003947448,2343
2557.4490995044257,141.89309504718432,2343
2376.530741750494,125.92596990069696,2353
2405.096798237957,126.7663449084068,2353
2428.901845310843,129.2874699315364,2353
2452.7068923837282,130.12784493924624,2353
2490.7949677003458,130.96821994695614,2353
2505.077995944077,132.64896996237582,2353
2547.9270806752716,134.32971997779555,2353
2576.4931371627345,136.01046999321528,2353
2357.4867040921854,137.691220008635,2363
2376.530741750494,140.21234503176458,2363
2395.5747794088024,139.37197002405475,2363
2414.618817067111,139.37197002405475,2363
2443.184873554574,138.53159501634485,2363
2466.98992062746,141.05272003947448,2363
2495.555977114923,143.57384506260405,2363
2524.1220336023857,144.4142200703139,2363
2571.7321277481574,147.77572010115335,2363
2400.33578882338,123.40484487756736,2373
2443.184873554574,120.04334484672792,2373
2462.228911212883,120.88371985443776,2373
2500.3169865295,123.40484487756736,2373
2528.883043016963,124.24521988527722,2373
2557.4490995044257,126.7663449084068,2373
2595.5371748210428,130.12784493924624,2373
2619.3422218939286,131.80859495466598,2373
2414.618817067111,137.691220008635,2383
2438.423864139997,141.05272003947448,2383
2452.7068923837282,141.89309504718432,2383
2466.98992062746,142.7334700548942,2383
2490.7949677003458,144.4142200703139,2383
2509.839005358654,144.4142200703139,2383
2543.1660712606945,146.93534509344346,2383
2562.210108919003,147.77572010115335,2383
2433.66285472542,138.53159501634485,2393
2447.945882969151,139.37197002405475,2393
2457.467901798306,140.21234503176458,2393
2466.98992062746,140.21234503176458,2393
2481.272948871191,141.89309504718432,2393
2500.3169865295,142.7334700548942,2393
2528.883043016963,144.4142200703139,2393
2538.405061846117,146.09497008573362,2393
2571.7321277481574,148.6160951088632,2393
2414.618817067111,144.4142200703139,2403
2438.423864139997,145.25459507802378,2403
2457.467901798306,146.09497008573362,2403
2476.511939456614,146.93534509344346,2403
2490.7949677003458,147.77572010115335,2403
2524.1220336023857,149.4564701165731,2403
2552.6880900898486,150.29684512428292,2403
2581.2541465773115,151.97759513970266,2403
2395.5747794088024,141.05272003947448,2413
2419.3798264816883,141.05272003947448,2413
2443.184873554574,141.05272003947448,2413
2466.98992062746,143.57384506260405,2413
2476.511939456614,144.4142200703139,2413
2505.077995944077,146.09497008573362,2413
2519.3610241878087,146.93534509344346,2413
2543.1660712606945,149.4564701165731,2413
2566.97111833358,151.13722013199282,2413
2390.8137699942254,139.37197002405475,2423
2409.857807652534,140.21234503176458,2423
2424.1408358962653,141.05272003947448,2423
2438.423864139997,141.89309504718432,2423
2447.945882969151,142.7334700548942,2423
2466.98992062746,144.4142200703139,2423
2490.7949677003458,146.09497008573362,2423
2514.6000147732316,147.77572010115335,2423
2538.405061846117,148.6160951088632,2423
2581.2541465773115,151.97759513970266,2423
2376.530741750494,132.64896996237582,2433
2390.8137699942254,132.64896996237582,2433
2405.096798237957,134.32971997779555,2433
2409.857807652534,134.32971997779555,2433
2428.901845310843,136.85084500092518,2433
2447.945882969151,139.37197002405475,2433
2471.750930042037,142.7334700548942,2433
2490.7949677003458,145.25459507802378,2433
2514.6000147732316,146.93534509344346,2433
2538.405061846117,149.4564701165731,2433
2562.210108919003,151.97759513970266,2433
2371.769732335917,134.32971997779555,2443
2381.291751165071,135.17009498550544,2443
2395.5747794088024,135.17009498550544,2443
2419.3798264816883,137.691220008635,2443
2428.901845310843,139.37197002405475,2443
2457.467901798306,141.89309504718432,2443
2476.511939456614,142.7334700548942,2443
2495.555977114923,144.4142200703139,2443
2543.1660712606945,147.77572010115335,2443
2338.442666433877,135.17009498550544,2453
2347.9646852630312,135.17009498550544,2453
2367.00872292134,135.17009498550544,2453
2400.33578882338,136.85084500092518,2453
2419.3798264816883,137.691220008635,2453
2438.423864139997,139.37197002405475,2453
2462.228911212883,141.05272003947448,2453
2481.272948871191,142.7334700548942,2453
2509.839005358654,146.09497008573362,2453
2286.0715628735284,162.062095232221,2463
2309.876609946414,163.74284524764073,2463
2319.3986287755683,164.58322025535057,2463
2347.9646852630312,166.2639702707703,2463
2367.00872292134,167.94472028619003,2463
2390.8137699942254,168.78509529389993,2463
2409.857807652534,169.62547030160977,2463
2438.423864139997,171.3062203170295,2463
